HomeTeam,AwayTeam,Team1 Total Points,Team2 Total Points,Team1 Home Points,Team1 Away Points,Team2 Home Points,Team2 Away Points
Leganes,Alaves,3,0,3,0,0,0
Valencia,Las Palmas,3,0,3,0,0,0
Celta,Sociedad,0,3,0,0,0,3
Girona,Ath Madrid,1,1,1,0,0,1
Sevilla,Espanol,1,1,1,0,0,1
Ath Bilbao,Getafe,1,1,1,0,0,1
Barcelona,Betis,3,0,3,0,0,0
La Coruna,Real Madrid,0,3,0,0,0,3
Levante,Villarreal,3,0,3,0,0,0
Malaga,Eibar,0,3,0,0,0,3
Betis,Celta,3,0,3,0,0,0
Sociedad,Villarreal,6,0,3,3,0,0
Alaves,Barcelona,0,6,0,0,3,3
Girona,Malaga,4,0,4,0,0,0
Las Palmas,Ath Madrid,0,4,0,0,0,4
Levante,La Coruna,4,1,4,0,0,1
Eibar,Ath Bilbao,3,4,0,3,1,3
Espanol,Leganes,1,6,0,1,3,3
Getafe,Sevilla,1,4,0,1,1,3
Real Madrid,Valencia,4,4,1,3,3,1
Leganes,Getafe,6,4,3,3,0,4
Barcelona,Espanol,9,1,6,3,0,1
Real Madrid,Levante,5,5,2,3,4,1
Sevilla,Eibar,7,3,4,3,0,3
Valencia,Ath Madrid,5,5,4,1,0,5
Ath Bilbao,Girona,7,4,4,3,4,0
Celta,Alaves,3,0,3,0,0,0
La Coruna,Sociedad,1,9,0,1,3,6
Villarreal,Betis,3,3,3,0,3,0
Malaga,Las Palmas,0,3,0,0,0,3
Eibar,Leganes,6,6,3,3,3,3
Ath Madrid,Malaga,8,0,3,5,0,0
Betis,La Coruna,6,1,6,0,0,1
Getafe,Barcelona,4,12,0,4,6,6
Levante,Valencia,6,6,5,1,4,2
Alaves,Villarreal,0,6,0,0,3,3
Girona,Sevilla,4,10,4,0,4,6
Las Palmas,Ath Bilbao,6,7,3,3,4,3
Sociedad,Real Madrid,9,8,3,6,2,6
Espanol,Celta,4,3,3,1,3,0
Barcelona,Eibar,15,6,9,6,3,3
Valencia,Malaga,9,0,7,2,0,0
Ath Bilbao,Ath Madrid,7,11,4,3,3,8
La Coruna,Alaves,4,0,3,1,0,0
Leganes,Girona,7,5,4,3,4,1
Real Madrid,Betis,8,9,2,6,6,3
Sevilla,Las Palmas,13,6,7,6,3,3
Celta,Getafe,4,5,4,0,0,5
Levante,Sociedad,9,9,8,1,3,6
Villarreal,Espanol,7,5,4,3,3,2
Alaves,Real Madrid,0,11,0,0,2,9
Ath Madrid,Sevilla,14,13,6,8,7,6
Girona,Barcelona,5,18,4,1,9,9
Malaga,Ath Bilbao,1,8,1,0,4,4
Eibar,Celta,6,7,3,3,4,3
Espanol,La Coruna,8,4,6,2,3,1
Getafe,Villarreal,8,7,3,5,4,3
Las Palmas,Leganes,6,10,3,3,4,6
Sociedad,Valencia,9,12,3,6,7,5
Betis,Levante,12,9,9,3,8,1
Celta,Girona,8,6,5,3,4,2
La Coruna,Getafe,7,8,6,1,3,5
Leganes,Ath Madrid,11,15,5,6,6,9
Levante,Alaves,9,3,8,1,0,3
Sevilla,Malaga,16,1,10,6,1,0
Barcelona,Las Palmas,21,6,12,9,3,3
Real Madrid,Espanol,14,8,5,9,6,2
Sociedad,Betis,10,13,4,6,9,4
Valencia,Ath Bilbao,15,8,10,5,4,4
Villarreal,Eibar,10,6,7,3,3,3
Espanol,Levante,9,10,7,2,8,2
Alaves,Sociedad,3,13,0,3,4,9
Ath Bilbao,Sevilla,11,16,7,4,10,6
Ath Madrid,Barcelona,16,22,7,9,12,10
Getafe,Real Madrid,8,17,3,5,5,12
Betis,Valencia,13,18,9,4,10,8
Eibar,La Coruna,7,8,4,3,6,2
Girona,Villarreal,6,13,4,2,7,6
Malaga,Leganes,1,14,1,0,5,9
Las Palmas,Celta,6,11,3,3,5,6
Barcelona,Malaga,25,1,15,10,1,0
Betis,Alaves,16,3,12,4,0,3
Levante,Getafe,11,9,9,2,3,6
Valencia,Sevilla,21,16,13,8,10,6
Celta,Ath Madrid,11,19,5,6,7,12
Leganes,Ath Bilbao,17,11,8,9,7,4
Real Madrid,Eibar,20,7,8,12,4,3
Villarreal,Las Palmas,16,6,10,6,3,3
La Coruna,Girona,8,9,6,2,4,5
Sociedad,Espanol,14,10,5,9,7,3
Alaves,Valencia,3,24,0,3,13,11
Ath Bilbao,Barcelona,11,28,7,4,15,13
Ath Madrid,Villarreal,20,17,8,12,10,7
Sevilla,Leganes,19,17,13,6,8,9
Eibar,Levante,8,12,5,3,9,3
Getafe,Sociedad,12,14,6,6,5,9
Girona,Real Madrid,12,20,7,5,8,12
Malaga,Celta,4,11,4,0,5,6
Espanol,Betis,13,16,10,3,12,4
Las Palmas,La Coruna,6,11,3,3,6,5
Betis,Getafe,17,13,13,4,6,7
Alaves,Espanol,6,13,3,3,10,3
Barcelona,Sevilla,31,19,18,13,13,6
La Coruna,Ath Madrid,11,23,6,5,8,15
Valencia,Leganes,27,17,16,11,8,9
Celta,Ath Bilbao,14,11,8,6,7,4
Levante,Girona,12,15,9,3,7,8
Real Madrid,Las Palmas,23,6,11,12,3,3
Sociedad,Eibar,17,8,8,9,5,3
Villarreal,Malaga,20,4,13,7,4,0
Girona,Sociedad,16,18,8,8,8,10
Ath Madrid,Real Madrid,24,24,9,15,11,13
Getafe,Alaves,16,6,9,7,3,3
Leganes,Barcelona,17,34,8,9,18,16
Sevilla,Celta,22,14,16,6,8,6
Ath Bilbao,Villarreal,12,21,8,4,13,8
Espanol,Valencia,13,30,10,3,16,14
Las Palmas,Levante,6,15,3,3,9,6
Malaga,La Coruna,7,11,7,0,6,5
Eibar,Betis,11,17,8,3,13,4
Celta,Leganes,17,17,11,6,8,9
Alaves,Eibar,6,14,3,3,8,6
Betis,Girona,18,17,14,4,8,9
Levante,Ath Madrid,15,27,9,6,9,18
Real Madrid,Malaga,27,7,14,13,7,0
La Coruna,Ath Bilbao,12,13,7,5,8,5
Sociedad,Las Palmas,19,7,9,10,3,4
Valencia,Barcelona,31,35,17,14,18,17
Villarreal,Sevilla,21,25,13,8,16,9
Espanol,Getafe,16,16,13,3,9,7
Malaga,Levante,8,16,8,0,9,7
Ath Bilbao,Real Madrid,14,28,9,5,14,14
Ath Madrid,Sociedad,30,19,12,18,9,10
Barcelona,Celta,36,18,19,17,11,7
Sevilla,La Coruna,28,12,19,9,7,5
Eibar,Espanol,17,16,11,6,13,3
Getafe,Valencia,19,31,12,7,17,14
Las Palmas,Betis,10,18,6,4,14,4
Leganes,Villarreal,20,21,11,9,13,8
Girona,Alaves,17,9,8,9,3,6
Alaves,Las Palmas,12,10,6,6,6,4
Getafe,Eibar,20,18,13,7,11,7
La Coruna,Leganes,15,20,10,5,11,9
Real Madrid,Sevilla,31,28,17,14,19,9
Valencia,Celta,34,18,20,14,11,7
Betis,Ath Madrid,18,33,14,4,12,21
Levante,Ath Bilbao,16,17,9,7,9,8
Sociedad,Malaga,19,11,9,10,8,3
Villarreal,Barcelona,21,39,13,8,19,20
Espanol,Girona,16,20,13,3,8,12
Sevilla,Levante,29,17,20,9,9,8
Ath Bilbao,Sociedad,18,20,10,8,9,11
Ath Madrid,Alaves,36,12,15,21,6,6
Eibar,Valencia,21,34,14,7,20,14
Barcelona,La Coruna,42,15,22,20,10,5
Celta,Villarreal,18,24,11,7,13,11
Girona,Getafe,23,20,11,12,13,7
Las Palmas,Espanol,11,17,7,4,13,4
Malaga,Betis,11,21,8,3,14,7
Levante,Leganes,18,21,10,8,11,10
Getafe,Las Palmas,23,11,16,7,7,4
Sociedad,Sevilla,23,29,12,11,20,9
Alaves,Malaga,15,11,9,6,8,3
Eibar,Girona,24,23,17,7,11,12
Betis,Ath Bilbao,21,21,14,7,10,11
Espanol,Ath Madrid,20,36,16,4,15,21
La Coruna,Celta,15,21,10,5,11,10
Real Madrid,Barcelona,31,45,17,14,22,23
Valencia,Villarreal,34,27,20,14,13,14
Ath Madrid,Getafe,39,23,18,21,16,7
Las Palmas,Eibar,11,27,7,4,17,10
Sevilla,Betis,29,24,20,9,14,10
Valencia,Girona,37,23,23,14,11,12
Ath Bilbao,Alaves,24,15,13,11,9,6
Barcelona,Levante,48,18,25,23,10,8
Celta,Real Madrid,22,32,12,10,17,15
Leganes,Sociedad,24,23,14,10,12,11
Villarreal,La Coruna,28,16,14,14,10,6
Malaga,Espanol,11,23,8,3,16,7
Getafe,Malaga,26,11,19,7,8,3
Eibar,Ath Madrid,27,42,17,10,18,24
Girona,Las Palmas,26,11,14,12,7,4
La Coruna,Valencia,16,40,10,6,23,17
Real Madrid,Villarreal,32,31,17,15,14,17
Alaves,Sevilla,18,29,12,6,20,9
Espanol,Ath Bilbao,24,25,17,7,13,12
Levante,Celta,18,25,10,8,12,13
Sociedad,Barcelona,23,51,12,11,25,26
Betis,Leganes,27,24,17,10,14,10
Getafe,Ath Bilbao,27,26,20,7,13,13
Ath Madrid,Girona,43,27,19,24,14,13
Espanol,Sevilla,24,32,17,7,20,12
Las Palmas,Valencia,14,40,10,4,23,17
Villarreal,Levante,34,18,17,17,10,8
Alaves,Leganes,19,25,13,6,14,11
Betis,Barcelona,27,54,17,10,25,29
Real Madrid,La Coruna,35,16,20,15,10,6
Sociedad,Celta,23,28,12,11,12,16
Eibar,Malaga,28,12,18,10,8,4
Ath Bilbao,Eibar,27,29,14,13,18,11
La Coruna,Levante,17,19,11,6,10,9
Malaga,Girona,13,28,9,4,14,14
Valencia,Real Madrid,40,38,23,17,20,18
Villarreal,Sociedad,37,23,20,17,12,11
Ath Madrid,Las Palmas,46,14,22,24,10,4
Barcelona,Alaves,57,19,28,29,13,6
Leganes,Espanol,28,24,17,11,17,7
Sevilla,Getafe,33,28,21,12,20,8
Celta,Betis,31,27,15,16,17,10
Sociedad,La Coruna,26,17,15,11,11,6
Alaves,Celta,22,31,16,6,15,16
Betis,Villarreal,30,37,20,10,20,17
Eibar,Sevilla,32,33,21,11,21,12
Levante,Real Madrid,20,39,11,9,20,19
Ath Madrid,Valencia,49,40,25,24,23,17
Espanol,Barcelona,25,58,18,7,28,30
Getafe,Leganes,29,29,21,8,17,12
Girona,Ath Bilbao,31,27,17,14,14,13
Las Palmas,Malaga,17,13,13,4,9,4
Ath Bilbao,Las Palmas,28,18,15,13,13,5
Leganes,Eibar,29,35,17,12,21,14
Malaga,Ath Madrid,13,52,9,4,25,27
Real Madrid,Sociedad,42,26,23,19,15,11
Villarreal,Alaves,37,25,20,17,16,9
Barcelona,Getafe,59,30,29,30,21,9
Celta,Espanol,32,26,16,16,18,8
Sevilla,Girona,36,31,24,12,17,14
Valencia,Levante,43,20,26,17,11,9
La Coruna,Betis,17,33,11,6,20,13
Girona,Leganes,34,29,20,14,17,12
Alaves,La Coruna,28,17,19,9,11,6
Eibar,Barcelona,35,62,21,14,29,33
Las Palmas,Sevilla,18,39,13,5,24,15
Malaga,Valencia,13,46,9,4,26,20
Ath Madrid,Ath Bilbao,55,28,28,27,15,13
Betis,Real Madrid,33,45,20,13,23,22
Espanol,Villarreal,27,38,19,8,20,18
Sociedad,Levante,29,20,18,11,11,9
Getafe,Celta,33,32,24,9,16,16
Leganes,Real Madrid,29,48,17,12,23,25
La Coruna,Espanol,18,28,12,6,19,9
Barcelona,Girona,65,34,32,33,20,14
Celta,Eibar,35,35,19,16,21,14
Leganes,Las Palmas,30,19,18,12,13,6
Real Madrid,Alaves,51,28,26,25,19,9
Ath Bilbao,Malaga,31,13,18,13,9,4
Sevilla,Ath Madrid,39,58,24,15,28,30
Valencia,Sociedad,49,29,29,20,18,11
Villarreal,Getafe,41,33,23,18,24,9
Levante,Betis,20,36,11,9,20,16
Espanol,Real Madrid,31,51,22,9,26,25
Girona,Celta,37,35,23,14,19,16
Ath Bilbao,Valencia,32,50,19,13,29,21
Ath Madrid,Leganes,61,30,31,30,18,12
Eibar,Villarreal,38,41,24,14,23,18
Getafe,La Coruna,36,18,27,9,12,6
Malaga,Sevilla,13,42,9,4,24,18
Alaves,Levante,31,20,22,9,11,9
Betis,Sociedad,37,30,21,16,18,12
Las Palmas,Barcelona,20,66,14,6,32,34
La Coruna,Eibar,19,39,13,6,24,15
Leganes,Malaga,33,13,21,12,9,4
Real Madrid,Getafe,54,36,29,25,27,9
Sevilla,Ath Bilbao,45,32,27,18,19,13
Villarreal,Girona,41,40,23,18,23,17
Barcelona,Ath Madrid,69,61,35,34,31,30
Levante,Espanol,21,32,12,9,22,10
Sociedad,Alaves,33,31,21,12,22,9
Valencia,Betis,53,37,32,21,21,16
Celta,Las Palmas,38,20,22,16,14,6
Girona,La Coruna,43,19,26,17,13,6
Eibar,Real Madrid,39,57,24,15,29,28
Getafe,Levante,36,24,27,9,12,12
Malaga,Barcelona,13,72,9,4,35,37
Sevilla,Valencia,45,56,27,18,32,24
Ath Bilbao,Leganes,35,33,22,13,21,12
Ath Madrid,Celta,64,38,34,30,22,16
Espanol,Sociedad,35,33,25,10,21,12
Las Palmas,Villarreal,20,44,14,6,23,21
Alaves,Betis,31,40,22,9,21,19
Levante,Eibar,27,39,15,12,24,15
Betis,Espanol,43,35,24,19,25,10
La Coruna,Las Palmas,20,21,14,6,14,7
Sociedad,Getafe,33,39,21,12,27,12
Valencia,Alaves,59,31,35,24,22,9
Barcelona,Ath Bilbao,75,35,38,37,22,13
Celta,Malaga,39,14,23,16,9,5
Leganes,Sevilla,36,45,24,12,27,18
Real Madrid,Girona,60,43,32,28,26,17
Villarreal,Ath Madrid,47,64,26,21,34,30
Ath Bilbao,Celta,36,40,23,13,23,17
Girona,Levante,44,28,27,17,15,13
Las Palmas,Real Madrid,21,63,14,7,32,31
Sevilla,Barcelona,46,76,28,18,38,38
Ath Madrid,La Coruna,67,20,37,30,14,6
Eibar,Sociedad,40,34,25,15,21,13
Espanol,Alaves,36,32,26,10,22,10
Leganes,Valencia,36,62,24,12,35,27
Malaga,Villarreal,17,47,12,5,26,21
Getafe,Betis,39,46,27,12,24,22
La Coruna,Malaga,23,17,17,6,12,5
Alaves,Getafe,35,39,25,10,27,12
Barcelona,Leganes,79,36,41,38,24,12
Betis,Eibar,49,40,27,22,25,15
Celta,Sevilla,43,46,26,17,28,18
Levante,Las Palmas,31,21,18,13,14,7
Real Madrid,Ath Madrid,64,68,33,31,37,31
Sociedad,Girona,37,44,24,13,27,17
Valencia,Espanol,65,36,38,27,26,10
Villarreal,Ath Bilbao,47,39,26,21,23,16
Girona,Betis,44,52,27,17,27,25
Ath Bilbao,La Coruna,39,26,23,16,17,9
Barcelona,Valencia,82,65,44,38,38,27
Las Palmas,Sociedad,21,40,14,7,24,16
Leganes,Celta,39,43,27,12,26,17
Sevilla,Villarreal,47,48,29,18,26,22
Ath Madrid,Levante,71,31,40,31,18,13
Eibar,Alaves,40,38,25,15,25,13
Getafe,Espanol,42,36,30,12,26,10
Malaga,Real Madrid,17,67,12,5,33,34
Celta,Barcelona,44,83,27,17,44,39
La Coruna,Sevilla,27,48,18,9,29,19
Villarreal,Leganes,51,39,29,22,27,12
Espanol,Eibar,36,43,26,10,25,18
Real Madrid,Ath Bilbao,68,40,34,34,23,17
Valencia,Getafe,65,45,38,27,30,15
Alaves,Girona,38,47,25,13,27,20
Betis,Las Palmas,55,21,30,25,14,7
Levante,Malaga,34,17,21,13,12,5
Sociedad,Ath Madrid,43,71,27,16,40,31
Leganes,La Coruna,40,28,28,12,18,10
Celta,Valencia,45,66,28,17,38,28
Eibar,Getafe,43,48,25,18,30,18
Ath Madrid,Betis,72,56,41,31,30,26
Girona,Espanol,47,39,27,20,26,13
Las Palmas,Alaves,21,41,14,7,25,16
Malaga,Sociedad,20,43,15,5,27,16
Ath Bilbao,Levante,40,37,23,17,21,16
Levante,Sevilla,40,48,24,16,29,19
Espanol,Las Palmas,40,22,27,13,14,8
Real Madrid,Leganes,71,40,37,34,28,12
Sociedad,Ath Bilbao,46,40,30,16,23,17
Villarreal,Celta,54,45,32,22,28,17
Alaves,Ath Madrid,41,75,25,16,41,34
Getafe,Girona,49,48,31,18,27,21
La Coruna,Barcelona,28,86,18,10,44,42
Valencia,Eibar,67,44,39,28,25,19
Betis,Malaga,59,20,33,26,15,5
Sevilla,Sociedad,51,46,32,19,30,16
Ath Bilbao,Betis,43,59,26,17,33,26
Celta,La Coruna,46,29,29,17,18,11
Girona,Eibar,48,47,27,21,25,22
Villarreal,Valencia,57,67,35,22,39,28
Ath Madrid,Espanol,75,43,41,34,27,16
Barcelona,Real Madrid,87,72,45,42,37,35
Las Palmas,Getafe,22,52,14,8,31,21
Malaga,Alaves,20,44,15,5,25,19
Leganes,Levante,40,43,28,12,24,19
Barcelona,Villarreal,90,57,48,42,35,22
Sevilla,Real Madrid,54,72,35,19,37,35
Alaves,Ath Bilbao,47,43,28,19,26,17
Betis,Sevilla,60,55,34,26,35,20
Eibar,Las Palmas,50,22,28,22,14,8
Getafe,Ath Madrid,52,78,31,21,41,37
Girona,Valencia,48,70,27,21,39,31
La Coruna,Villarreal,29,60,18,11,35,25
Real Madrid,Celta,75,46,40,35,29,17
Sociedad,Leganes,49,40,33,16,28,12
Espanol,Malaga,46,20,30,16,15,5
Levante,Barcelona,46,90,27,19,48,42
Celta,Levante,49,46,32,17,27,19
Las Palmas,Girona,22,51,14,8,27,24
Leganes,Betis,43,60,31,12,34,26
Malaga,Getafe,20,55,15,5,31,24
Sevilla,Alaves,58,47,38,20,28,19
Villarreal,Real Madrid,61,76,36,25,40,36
Ath Bilbao,Espanol,43,49,26,17,30,19
Ath Madrid,Eibar,79,51,42,37,28,23
Barcelona,Sociedad,93,49,51,42,33,16
Valencia,La Coruna,73,29,42,31,18,11
